Club Name,Website,Email/Contact,Instagram,Facebook,Meeting Day(s),Meeting Time,Meeting Location,Area,Type,Distance,Pace,Coffee Spot,Members,Route Description,Upcoming (scraper),Vibe Tags,Vibe Description,Notes
DogRunnin,dogrunnin.square.site,,,,Check website,,Various trails around HRM,Halifax,Trail,Varies,All paces,,,Trail routes around HRM — dog-friendly paths and parks.,,dog-friendly · trail · outdoorsy · unique,The only run club in HRM where your dog is the most welcome member.,Dog-friendly running group! Various trails around HRM. No social media found — check website.
Dalhousie Run Club,,,,,"Tuesday, Sunday","Tue 6:30PM, Sun 10AM",Dalhousie University,Halifax,Road,5K–10K,All paces (beginner-friendly),,,Campus and surrounding neighbourhood routes. Fall: Couch to 5K program structure.,,student · university · beginner-friendly · Couch to 5K,Dal's student run club with twice-weekly runs and a fall Couch to 5K program for beginners.,For Dalhousie students. Couch to 5K program offered in fall (Oct–Dec).
Heart & Sole Running Club,heartandsolerunningclub.blogspot.com,heartandsolerunningclub@gmail.com,,facebook.com/heartandsolerunclub,"Wednesday, Sunday","Wed 6PM, Sun 9AM","Sun: Findlay Community Centre, 26 Elliot St; last Sun of month: Cabin Coffee, Halifax",Dartmouth,Road,5K–15K (Sun),All paces,Findlay Community Centre (post-run tea/coffee),550+,Sun: loop routes from Findlay Centre through Dartmouth neighbourhoods. Wed: hill repeats at Sullivan's Pond.,,community · large club · multi-distance · free · hill training · social,"Dartmouth's biggest free running club — 550+ members, multiple distances, and post-run coffee every Sunday.","Free club, 550+ members. Wed: hill/speed training at Sullivan's Pond. Sun: 5K–15K options. Post-run coffee/tea. No Instagram found."
Dartmouth Runners Association,dartmouthrunners.com,,,,Weekly,,Sullivan's Pond gazebo,Dartmouth,Road,Varies,All paces,,,"Routes around Sullivan's Pond, Dartmouth waterfront, and Lake Banook area.",,casual · free · all paces · Dartmouth-proud · lakes & trails,A laid-back Dartmouth crew enjoying the city's scenic lakes and waterfront routes.,Community-driven free weekly runs. All levels welcome. No Instagram found.
Fast Company Running Club,,,,facebook.com/p/Fast-Company-Running-Club-100057396312514,Weekly,,"Graham's Grove Park, 45 Grahams Grove, Dartmouth",Dartmouth,Road,Varies,"Speed-focused, all abilities",,,"Structured workouts from Graham's Grove Park, Dartmouth.",,speed · structured workouts · performance · all abilities,Dartmouth's speed-focused club with structured weekly workouts for all ability levels.,"Structured workouts, speed-focused, all abilities welcome. No Instagram found."
Girls Gone Gazelle Run Club,girlsgonegazelle.com,girlsgonegazelle@gmail.com,,facebook.com/girlsgonegazelle,Check website (seasonal),,"Dartmouth Sportsplex, Shubie Park, Sullivan's Pond, Halifax Commons",Dartmouth / Halifax,Road,Up to 5K,Beginner / learn-to-run,,,"Training routes at Dartmouth Sportsplex track, Shubie Park, Sullivan's Pond, and Halifax Commons.",,youth · girls only · ages 9–13 · free · confidence-building · non-competitive,"A free, empowering running program that builds confidence in girls ages 9–13.",FREE youth running club for girls ages 9–13. Founded 2012 by Coach Stacy Chesnutt. Trains 3 sessions/year. Not an adult club.
Sober Friends Run Crew,,,,,Wednesday,6:30 PM,"DeWolfe Park, Bedford",Bedford,Road,Varies,All paces,,,Routes through Bedford from DeWolfe Park.,,sober · inclusive · supportive · community · alcohol-free,"A welcoming, alcohol-free run crew for those who want community without the bar scene.",Sober-friendly running crew. Join via WhatsApp link. No Instagram found. | WhatsApp group: chat.whatsapp.com/JCGXeHgmUEo7qRVP1HkNV1
BLT Runners,bltrunners.com,,@bltrunners,,Check website,,"BLT Trail Parking Lot (beside Coke Plant, Lakeside Industrial Park)",Beechville-Lakeside-Timberlea,Road & Trail,Varies,All abilities,,,Road and trail routes along the BLT Trail system — one of HRM's most scenic multi-use trails.,,trail · suburban · scenic · all abilities · parkrun supporters,Road and trail runners who know the BLT Trail better than anyone.,Road and trail runners exploring scenic BLT routes. All abilities welcome. Supporters of Chain of Lakes parkrun.
Cole Harbour Runners,,,,facebook.com/Coleharbourrunners,Thursday,6:00 PM,Cole Harbour Fire Hall parking lot,Cole Harbour,Road,6–8K,~6 min/km,,,Suburban and coastal road routes through Cole Harbour neighbourhoods.,,suburban · coastal · free · welcoming · steady pace,"A free, friendly Thursday evening run through Cole Harbour's peaceful coastal suburbs.","6-8km runs ~6 min/km pace. Free, welcoming, coastal/suburban routes. No Instagram found."
Chain of Lakes parkrun,parkrun.ca/chainoflakes,chainoflakes@parkrun.com,@chainoflakesparkrun,facebook.com/Chainoflakesparkrun,Saturday,9:00 AM,"130 Chain Lake Dr (Hwy 103 overpass), Halifax",Halifax,Road/Paved Trail,5K,All paces (walkers welcome),5K Cafe (post-run),,"Single out-and-back loop along the Chain of Lakes Trail — flat, paved, lake views.",,free · timed · 5K · all abilities · walkers welcome · weekly · community · PB-friendly,"Halifax's beloved free weekly 5K — show up, run, get your time, repeat.","Free weekly timed 5K. All abilities welcome. Post-run coffee at 5K Cafe. Technically an event, not a club."
NS Trail Running Club,raceroster.com/memberships/3988/ns-trail-running-club,,,,Check membership,,Province-wide,Nova Scotia,Trail,Varies,All paces,,,Province-wide — various trail locations across Nova Scotia.,,trail · province-wide · membership perks · Salomon · organized,Province-wide trail running membership with gear discounts and organized events.,Membership includes Salomon discounts and other perks. Province-wide trail running.
Running Room Halifax,,,,,Check store schedule,,Multiple locations,Halifax,Road,5K–10K,Beginner-friendly,,,Routes vary by store location.,,retail · beginner-friendly · store-based · structured,Beginner-friendly group runs organized through the Running Room retail stores.,Retail store with community running groups. Check local store for schedule.
